Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
206,10826,0.158,2.478,0.323,1,1.752,2.255,2.126,2.652,2.02,2.386,2.02,2.386,0.26,0.208,-34.436,1.251,0.196,0.803,0.598,139.399,2.026,2.405,0.597,0.44,143.509,0.618,1.032,2.015,2.397,0.16,-0.88,1.926
235,6869,0.1,1.426,0.619,1,1.103,1.488,2.484,2.927,1.304,2.733,1.304,2.733,0.201,0.173,76.085,1.163,0.115,0.87,0.444,93.453,1.291,2.736,0.405,0.368,63.869,0.449,1.012,1.286,2.74,0.149,-0.865,1.508
364,3492,0.051,1.085,0.543,1,0.305,0.592,3.633,3.912,0.443,3.777,0.443,3.777,0.147,0.126,34.963,1.164,0.06,0.854,0.303,53.707,0.448,3.765,0.299,0.263,69.075,0.303,1.0,0.473,3.778,0.099,-0.915,1.527
456,7510,0.109,1.72,0.464,1,0.599,1.126,4.141,4.507,0.868,4.304,0.868,4.304,0.246,0.151,-11.679,1.627,0.127,0.859,0.536,169.33,0.865,4.311,0.529,0.321,160.145,0.547,1.021,0.84,4.301,0.134,-0.878,2.049
429,7267,0.106,1.563,0.545,1,1.053,1.454,3.98,4.45,1.27,4.211,1.27,4.211,0.255,0.143,54.283,1.788,0.122,0.865,0.518,46.193,1.271,4.209,0.514,0.285,53.915,0.514,0.993,1.233,4.167,0.122,-0.882,2.106
383,6654,0.097,1.702,0.42,1,1.431,1.801,3.774,4.171,1.618,3.952,1.618,3.952,0.189,0.18,89.864,1.052,0.112,0.868,0.447,58.617,1.612,3.95,0.384,0.351,102.031,0.445,0.996,1.591,3.923,0.137,-0.895,1.62
485,3684,0.054,1.076,0.582,1,0.675,0.958,4.568,4.889,0.812,4.728,0.812,4.728,0.153,0.129,72.095,1.181,0.063,0.857,0.333,36.607,0.801,4.735,0.313,0.239,72.181,0.333,1.0,0.798,4.725,0.107,-0.89,1.557
520,4918,0.072,1.334,0.506,1,0.836,1.298,4.9,5.206,1.052,5.054,1.052,5.054,0.223,0.113,-35.214,1.971,0.081,0.882,0.526,151.39,1.067,5.034,0.505,0.235,135.0,0.521,0.99,1.057,5.038,0.107,-0.902,2.436
652,4424,0.064,1.19,0.572,1,1.095,1.37,5.954,6.331,1.247,6.151,1.247,6.151,0.166,0.14,81.874,1.185,0.073,0.883,0.389,103.627,1.233,6.142,0.378,0.275,90.0,0.397,1.021,1.248,6.156,0.114,-0.899,1.734
642,7977,0.116,1.942,0.387,1,1.58,2.072,5.912,6.354,1.82,6.148,1.82,6.148,0.236,0.169,-38.851,1.398,0.144,0.806,0.551,147.742,1.838,6.152,0.547,0.379,141.499,0.549,0.997,1.801,6.182,0.149,-0.884,1.844
703,4614,0.067,1.328,0.479,1,1.908,2.179,6.209,6.633,2.048,6.45,2.048,6.45,0.187,0.129,-81.702,1.457,0.08,0.84,0.426,84.341,2.044,6.421,0.424,0.271,90.0,0.433,1.017,2.061,6.434,0.111,-0.895,1.955
784,2246,0.033,0.904,0.504,1,2.141,2.313,6.465,6.789,2.223,6.631,2.223,6.631,0.169,0.076,-69.988,2.232,0.037,0.884,0.349,111.801,2.227,6.628,0.341,0.147,99.462,0.351,1.005,2.233,6.587,0.069,-0.931,2.556
868,3204,0.047,0.904,0.717,1,1.504,1.717,6.66,6.98,1.605,6.817,1.605,6.817,0.169,0.101,77.047,1.67,0.051,0.907,0.342,69.744,1.602,6.825,0.333,0.194,82.349,0.343,1.003,1.591,6.805,0.088,-0.893,1.952
894,2811,0.041,1.043,0.473,1,1.798,2.133,6.793,6.992,1.962,6.887,1.962,6.887,0.172,0.091,18.26,1.889,0.05,0.822,0.365,32.196,1.971,6.884,0.344,0.177,7.306,0.364,0.997,1.935,6.869,0.076,-0.923,2.385
866,5041,0.073,1.214,0.626,1,2.233,2.641,6.656,6.927,2.427,6.794,2.427,6.794,0.183,0.138,-9.61,1.319,0.081,0.905,0.408,1.071,2.437,6.79,0.408,0.269,178.603,0.41,1.004,2.404,6.789,0.13,-0.885,1.58
926,3708,0.054,1.061,0.603,1,2.305,2.641,6.919,7.171,2.437,7.032,2.437,7.032,0.162,0.123,-23.391,1.32,0.063,0.861,0.361,158.311,2.473,7.045,0.342,0.247,177.274,0.363,1.005,2.412,7.026,0.103,-0.899,1.763
933,2097,0.031,0.756,0.672,1,2.168,2.309,6.938,7.209,2.239,7.073,2.239,7.073,0.144,0.081,-82.737,1.78,0.033,0.914,0.294,112.906,2.238,7.074,0.271,0.141,90.0,0.295,1.002,2.24,7.026,0.069,-0.917,2.145
317,8534,0.124,2.123,0.346,1,1.599,2.11,3.248,3.698,1.848,3.497,1.848,3.497,0.231,0.189,-8.64,1.221,0.163,0.761,0.541,18.947,1.841,3.495,0.457,0.435,155.283,0.547,1.012,1.82,3.5,0.149,-0.884,1.839
405,11471,0.167,2.378,0.371,1,1.95,2.488,3.893,4.534,2.265,4.22,2.265,4.22,0.285,0.218,74.346,1.305,0.219,0.764,0.648,74.982,2.288,4.251,0.569,0.494,45.0,0.656,1.013,2.252,4.232,0.149,-0.865,2.205
383,6654,0.097,1.702,0.42,1,1.431,1.801,3.774,4.171,1.618,3.952,1.618,3.952,0.189,0.18,89.864,1.052,0.112,0.868,0.447,58.617,1.612,3.95,0.384,0.351,102.031,0.445,0.996,1.591,3.923,0.137,-0.895,1.62
429,7267,0.106,1.563,0.545,1,1.053,1.454,3.98,4.45,1.27,4.211,1.27,4.211,0.255,0.143,54.283,1.788,0.122,0.865,0.518,46.193,1.271,4.209,0.514,0.285,53.915,0.514,0.993,1.233,4.167,0.122,-0.882,2.106
456,7510,0.109,1.72,0.464,1,0.599,1.126,4.141,4.507,0.868,4.304,0.868,4.304,0.246,0.151,-11.679,1.627,0.127,0.859,0.536,169.33,0.865,4.311,0.529,0.321,160.145,0.547,1.021,0.84,4.301,0.134,-0.878,2.049
485,3684,0.054,1.076,0.582,1,0.675,0.958,4.568,4.889,0.812,4.728,0.812,4.728,0.153,0.129,72.095,1.181,0.063,0.857,0.333,36.607,0.801,4.735,0.313,0.239,72.181,0.333,1.0,0.798,4.725,0.107,-0.89,1.557
482,2472,0.036,0.792,0.722,1,0.862,1.084,4.519,4.797,0.973,4.641,0.973,4.641,0.138,0.099,85.717,1.392,0.039,0.918,0.283,100.098,0.993,4.646,0.271,0.2,72.3,0.289,1.022,0.973,4.633,0.08,-0.893,1.805
499,1509,0.022,0.659,0.635,1,0.966,1.164,4.671,4.87,1.07,4.777,1.07,4.777,0.104,0.084,-64.28,1.244,0.025,0.878,0.201,75.7,1.083,4.782,0.192,0.166,126.87,0.202,1.003,1.076,4.77,0.065,-0.931,1.553
366,1,1.456e-05,0.01,1.748,1,5.583,5.587,3.645,3.648,5.585,3.647,5.585,3.647,0.036,0.036,0.0,1.0,1.456e-05,1.0,0.005,45.0,5.585,3.647,0.004,0.004,0.0,0.005,1.0,5.583,3.645,0.004,-0.992,0.707
520,4918,0.072,1.334,0.506,1,0.836,1.298,4.9,5.206,1.052,5.054,1.052,5.054,0.223,0.113,-35.214,1.971,0.081,0.882,0.526,151.39,1.067,5.034,0.505,0.235,135.0,0.521,0.99,1.057,5.038,0.107,-0.902,2.436
672,5125,0.075,2.11,0.211,1,0.172,0.557,6.045,6.469,0.376,6.284,0.376,6.284,0.198,0.138,-37.778,1.429,0.093,0.802,0.441,110.788,0.391,6.257,0.428,0.285,132.709,0.453,1.027,0.385,6.274,0.111,-0.933,2.045
709,4881,0.071,1.606,0.346,1,0.378,0.687,6.24,6.656,0.554,6.44,0.554,6.44,0.205,0.12,-72.999,1.705,0.082,0.866,0.418,96.282,0.56,6.446,0.404,0.264,125.538,0.427,1.021,0.546,6.45,0.107,-0.92,2.0
652,4424,0.064,1.19,0.572,1,1.095,1.37,5.954,6.331,1.247,6.151,1.247,6.151,0.166,0.14,81.874,1.185,0.073,0.883,0.389,103.627,1.233,6.142,0.378,0.275,90.0,0.397,1.021,1.248,6.156,0.114,-0.899,1.734
678,1734,0.025,0.66,0.728,1,1.366,1.549,6.095,6.293,1.437,6.197,1.437,6.197,0.105,0.093,79.855,1.126,0.027,0.93,0.214,31.139,1.458,6.194,0.198,0.183,90.0,0.213,0.995,1.435,6.19,0.073,-0.916,1.469
642,7977,0.116,1.942,0.387,1,1.58,2.072,5.912,6.354,1.82,6.148,1.82,6.148,0.236,0.169,-38.851,1.398,0.144,0.806,0.551,147.742,1.838,6.152,0.547,0.379,141.499,0.549,0.997,1.801,6.182,0.149,-0.884,1.844
703,4614,0.067,1.328,0.479,1,1.908,2.179,6.209,6.633,2.048,6.45,2.048,6.45,0.187,0.129,-81.702,1.457,0.08,0.84,0.426,84.341,2.044,6.421,0.424,0.271,90.0,0.433,1.017,2.061,6.434,0.111,-0.895,1.955
