Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
104,5,5,8.045,0.971,1,469,472,329,332,470.500,330.500,470.500,330.500,1.390,1.390,0.000,1.000,5,1.000,3.162,71.565,470.500,330.500,2.828,2.828,45.000,3.414,1.080,470,329,1,1.667,1.707
105,175,175,55.812,0.706,1,475,494,332,348,486.529,338.317,486.529,338.317,11.081,5.531,35.113,2.004,186,0.941,24.207,38.290,486.939,337.451,24.207,12.025,38.660,24.214,1.000,488,338,6,6.267,2.018
106,8,8,9.941,1.017,1,187,191,337,340,189.000,338.500,189.000,338.500,1.826,1.528,0.000,1.195,8,1.000,4.123,14.036,189.000,338.500,4.000,3.000,0.000,4.414,1.071,188,337,1,1.667,2.207
107,125,125,49.473,0.642,1,153,172,340,355,163.460,347.268,163.460,347.268,10.535,4.109,36.757,2.564,135,0.926,21.471,27.759,162.750,346.250,21.213,9.192,45.000,21.414,0.997,162,346,4,4.905,2.677
108,529,529,121.240,0.452,1,156,195,340,371,176.821,358.315,176.821,358.315,18.437,11.286,-18.273,1.634,757,0.699,39.205,5.856,176.695,357.798,35.986,26.687,152.526,37.014,0.944,181,358,8,8.006,2.313
109,28,28,19.651,0.911,1,202,208,346,353,205.357,349.857,205.357,349.857,3.331,2.800,78.566,1.190,30,0.933,7.616,66.801,205.000,349.500,7.000,6.000,90.000,7.814,1.026,205,349,3,2.733,1.302
110,10,10,11.281,0.987,1,152,156,348,352,153.800,350.200,153.800,350.200,2.082,1.677,45.000,1.241,10,1.000,4.472,63.435,153.750,350.250,4.243,3.536,45.000,4.614,1.032,153,348,1,1.667,2.307
111,35,35,22.888,0.840,1,195,203,350,357,198.929,353.729,198.929,353.729,3.852,3.075,-36.101,1.253,39,0.897,8.602,125.538,199.100,353.800,7.906,6.641,161.565,8.614,1.001,198,353,3,2.810,1.436
112,6,6,9.155,0.900,1,492,494,352,356,493.167,354.000,493.167,354.000,2.000,1.106,90.000,1.809,6,1.000,4.123,75.964,493.000,354.000,4.000,2.000,90.000,4.414,1.071,493,352,1,1.333,2.207
113,1599,1599,221.353,0.410,1,62,122,354,408,90.512,378.459,90.512,378.459,28.167,19.877,-14.358,1.417,2195,0.728,62.642,163.301,91.436,381.656,62.293,47.478,157.249,63.814,1.019,89,376,16,13.581,1.994
